zip_code,value,latitude,longitude
95123,161,37.2458,-121.8306
93551,160,34.6017,-118.231
30319,160,33.8687,-84.3351
10452,160,40.8376,-73.9216
33068,160,26.216,-80.2205
48221,160,42.426,-83.15
77098,160,29.735,-95.4118
70058,159,29.8725,-90.0673
77079,159,29.7738,-95.598
02860,159,41.8729,-71.3907
91335,159,34.2007,-118.5391
77429,159,29.9766,-95.6358
11101,159,40.7446,-73.9345
75033,159,33.2559,-96.8853
10710,159,40.9656,-73.8434
07202,158,40.6565,-74.2215
10033,158,40.8496,-73.9356
30345,157,33.8513,-84.287
38103,157,35.144,-90.048
85016,156,33.5021,-112.0305
10475,156,40.8729,-73.8278
78245,155,29.4189,-98.6895
10940,155,41.4512,-74.4701
32801,155,28.5399,-81.3727
77095,155,29.8941,-95.6481
08873,155,40.5007,-74.5013
30022,155,34.0268,-84.2422
11414,155,40.6588,-73.8438
32065,155,30.1382,-81.7742
77379,154,30.0377,-95.5326
11249,154,40.6451,-73.945
30329,154,33.8236,-84.3214
48076,154,42.4981,-83.2058
89178,154,35.9977,-115.2861
79912,154,31.8383,-106.5364
19143,153,39.9448,-75.2288
19150,153,40.0726,-75.1706
60473,153,41.5979,-87.5938
30342,153,33.8842,-84.3761
75287,152,33.0005,-96.8314
11411,152,40.6947,-73.7374
11432,152,40.7119,-73.7944
60649,152,41.762,-87.5703
91311,152,34.2583,-118.5914
30038,152,33.6823,-84.161
19111,152,40.0596,-75.0818
32712,152,28.712,-81.5136
30094,151,33.6111,-84.0683
30248,151,33.3449,-84.0982
20147,151,39.0373,-77.4805
90807,151,33.8315,-118.1811
30013,151,33.6436,-83.9684
91342,151,34.3054,-118.4322
10026,151,40.8019,-73.9531
27610,150,35.7667,-78.6008
90292,150,33.9779,-118.4525
21114,150,39.0112,-76.6802
75208,150,32.7492,-96.8389
90066,150,34.003,-118.4298
07032,150,40.7647,-74.1471
33411,150,26.6644,-80.1741
07029,150,40.7445,-74.1508
30083,150,33.7942,-84.2018
75056,149,33.094,-96.8836
30076,149,34.0213,-84.3104
92503,149,33.9208,-117.4589
79938,149,31.8045,-105.9661
32835,148,28.5289,-81.4787
90278,148,33.8707,-118.3715
33426,148,26.5175,-80.0834
92660,148,33.6295,-117.8684
10304,148,40.6102,-74.0878
91405,148,34.2001,-118.4456
30291,148,33.5832,-84.5499
11590,147,40.7557,-73.5723
10312,147,40.5457,-74.1792
91915,147,32.6315,-116.9408
37207,147,36.2195,-86.774
10457,147,40.8486,-73.8999
70119,147,29.9746,-90.0852
89117,147,36.1302,-115.2755
36117,147,32.3736,-86.1833
30062,147,34.0025,-84.4633
70128,146,30.0487,-89.9585
19151,146,39.9772,-75.2545
23320,146,36.7352,-76.2384
48075,146,42.4638,-83.2255
30327,146,33.8627,-84.42
77581,145,29.5617,-95.2721
30033,145,33.8123,-84.2819
32824,145,28.3932,-81.3622
92373,145,34.0397,-117.1804
20850,144,39.087,-77.168
77479,144,29.5785,-95.6066
02169,144,42.2491,-70.9978
21044,144,39.2141,-76.8788
30311,144,33.723,-84.4702
20607,144,38.672,-77.0162
11375,143,40.7229,-73.8473
10453,143,40.852,-73.9129
20878,143,39.1125,-77.2515
92555,143,33.9377,-117.1851
77386,143,30.1288,-95.4239
21202,142,39.2998,-76.6075
10036,142,40.7597,-73.9918
11217,142,40.6816,-73.9798
20770,142,38.9996,-76.884
33837,142,28.1963,-81.6079
29223,142,34.0853,-80.9167
77489,141,29.5962,-95.5115
22193,141,38.6438,-77.3451
91739,141,34.1705,-117.5182
92592,141,33.4983,-117.0958
10451,141,40.8222,-73.9217
33024,141,26.0296,-80.2489
10456,141,40.8316,-73.9099
10552,140,40.9231,-73.8299
07203,140,40.653,-74.261
07086,140,40.7681,-74.0208
94607,140,37.8071,-122.2851
89031,140,36.2589,-115.1718
20904,140,39.0668,-76.9969
10458,139,40.8633,-73.8895
33196,139,25.6615,-80.441
78109,139,29.5173,-98.3217
33162,139,25.9286,-80.183
32771,139,28.8013,-81.285
92612,139,33.6607,-117.8264
10039,138,40.8265,-73.9383
95757,138,38.4081,-121.4294
75093,138,33.0299,-96.7889
75235,138,32.8252,-96.8388
75013,138,33.1186,-96.6773
91423,138,34.1526,-118.4322
75036,138,33.1499,-96.8241
02148,138,42.4291,-71.0605
48219,137,42.426,-83.2495
10468,137,40.8662,-73.9003
77477,137,29.6228,-95.5678
10306,137,40.5682,-74.1184
90247,137,33.8925,-118.2961
78254,137,29.5551,-98.7442
11758,137,40.6682,-73.4588
33054,137,25.9097,-80.247
28214,136,35.2731,-80.9571
90640,136,34.0133,-118.113
34786,136,28.5006,-81.5354
91605,136,34.2057,-118.4001
20017,136,38.9367,-76.994
33067,136,26.3033,-80.2415
33169,136,25.9441,-80.2144
21206,136,39.3365,-76.5411
37128,135,35.8454,-86.4867
33206,135,25.7743,-80.1937
