zip_code,value,latitude,longitude
92571,81,33.811,-117.218
91702,81,34.1248,-117.9031
91367,81,34.1767,-118.6159
91356,81,34.1671,-118.5414
94523,80,37.954,-122.0737
92374,80,34.065,-117.1672
93065,80,34.2656,-118.7653
90222,80,33.9099,-118.2357
95355,79,37.6717,-120.9482
91340,79,34.2875,-118.4352
95206,79,37.9177,-121.3123
90260,79,33.8879,-118.351
92223,78,33.9504,-116.9701
95219,78,38.01,-121.3698
95054,78,37.3924,-121.9623
92570,78,33.7852,-117.3166
92337,78,34.0498,-117.4706
92505,77,33.9228,-117.4867
93313,77,35.2974,-119.0509
90401,77,34.0176,-118.4907
92126,77,32.9161,-117.1402
91505,77,34.169,-118.3442
92504,77,33.9315,-117.4119
91406,77,34.2006,-118.4868
92335,76,34.0794,-117.4551
95828,76,38.4826,-121.4006
92078,75,33.1193,-117.185
90062,75,34.0032,-118.3073
91106,75,34.1435,-118.1266
91387,75,34.4132,-118.426
95765,74,38.8136,-121.2677
93536,74,34.7471,-118.3687
91722,74,34.0972,-117.9065
95076,74,36.9102,-121.7569
94501,74,37.7706,-122.2648
91331,74,34.2556,-118.4208
91773,74,34.1023,-117.8169
91325,74,34.2353,-118.5188
94545,73,37.6332,-122.0971
94596,73,37.9053,-122.0549
90013,73,34.0448,-118.2434
91436,73,34.151,-118.4882
90020,73,34.0665,-118.3022
92509,73,34.0033,-117.445
90212,73,34.0619,-118.3995
92869,73,33.7868,-117.7934
94520,72,37.9823,-122.0362
90064,72,34.0353,-118.4259
93720,72,36.8579,-119.7655
92203,72,33.7532,-116.2676
94601,72,37.7806,-122.2166
92596,71,33.6243,-117.0885
91103,71,34.1669,-118.1551
92545,71,33.7399,-117.0151
92677,71,33.5145,-117.7084
91307,70,34.1963,-118.6389
92110,70,32.7635,-117.2028
92123,70,32.7973,-117.1392
92324,69,34.0315,-117.2874
92530,69,33.6598,-117.3485
92532,68,33.6927,-117.303
94015,68,37.6787,-122.478
91343,68,34.2366,-118.4758
90059,68,33.9293,-118.2463
91767,68,34.0812,-117.7362
95377,68,37.6567,-121.4955
95630,68,38.6709,-121.1529
94577,68,37.7205,-122.1587
91204,68,34.1379,-118.2599
92646,67,33.6654,-117.9686
90501,67,33.8268,-118.3118
90010,67,34.0606,-118.3027
91941,67,32.7604,-117.0115
90638,67,33.9067,-118.0101
